Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,26.0,-4.0,-0.23,-1.0,0.0,0.0,-2.0,-0.11,0
2011,52.0,-3.0,-0.16,2.0,-30.0,-0.0,-2.0,-0.11,24
2012,48.0,-4.0,-0.2,-4.0,-26.0,-0.0,-6.0,-0.32,-33
2013,47.0,0.0,0.0,1.0,-25.0,-0.0,-1.0,-0.05,100
2014,53.0,2.0,0.12,4.0,-21.0,-0.0,0.0,0.0,19900
2015,58.0,22.0,1.15,4.0,-18.0,-0.0,1.0,0.05,994
2016,125.0,12.0,0.63,10.0,18.0,1.8,6.0,0.32,-45
2017,116.0,-33.0,-1.75,2.0,17.0,8.5,1.0,0.05,-374
2018,50.0,1.0,0.07,4.0,7.0,1.75,4.0,0.22,103
2019,247.0,-4.0,-2.0,4.0,19.0,4.75,0.0,0.0,-496
