Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,100.0,282.0,28.2,278.0,0.0,0.0,11.0,1.1,0
2011,271.0,257.0,21.4,213.0,3146.0,14.77,58.0,4.83,-8
2012,416.0,432.0,17.99,363.0,2550.0,7.02,69.0,2.88,68
2013,164.0,151.0,3.33,139.0,1898.0,13.65,-276.0,-6.13,-65
2014,415.0,31.0,0.44,152.0,1241.0,8.16,32.0,0.47,-79
2015,349.0,21.0,0.22,27.0,1031.0,38.19,-2.0,-0.02,-32
2016,116.0,77.0,1.02,77.0,622.0,8.08,10.0,0.13,266
2017,2.0,-41.0,-0.71,-37.0,-4.0,-0.0,-11.0,-0.19,-153
2018,-11.0,-37.0,-0.65,-33.0,-13.0,-0.0,80.0,1.43,9
2019,292.0,-53.0,-0.76,-30.0,42.0,0.0,32.0,0.48,-43
