Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,6.0,-2.0,-0.12,-1.0,0.0,0.0,-2.0,-0.11,0
2011,11.0,-4.0,-0.2,-4.0,2.0,0.0,-7.0,-0.37,-101
2012,15.0,-4.0,-0.2,-4.0,1.0,0.0,-8.0,-0.4,0
2013,16.0,3.0,0.1,-4.0,3.0,0.0,-6.0,-0.19,175
2014,15.0,-44.0,-1.05,-40.0,6.0,0.0,-8.0,-0.19,-1561
2015,16.0,-13.0,-1.18,-13.0,6.0,0.0,-4.0,-0.36,70
2016,17.0,-2.0,-0.16,2.0,1.0,0.5,2.0,0.15,84
2017,16.0,-2.0,-0.14,4.0,1.0,0.25,-6.0,-0.43,0
2018,17.0,-1.0,-0.06,-2.0,0.0,0.0,-6.0,-0.38,49
2019,17.0,-4.0,-0.16,-2.0,2.0,0.0,-9.0,-0.36,-304
