Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,143.0,2.0,0.18,5.0,0.0,0.0,-3.0,-0.27,0
2011,245.0,1.0,1.0,8.0,23.0,2.88,-3.0,-3.0,-50
2012,228.0,-2.0,0.66,2.0,24.0,12.0,-1.0,0.33,-298
2013,258.0,-8.0,0.56,0.0,44.0,0.0,-5.0,0.36,-302
2014,342.0,5.0,1.0,11.0,44.0,4.0,-3.0,-0.6,162
2015,386.0,2.0,0.4,13.0,55.0,4.23,3.0,0.6,-60
2016,424.0,-3.0,0.49,7.0,75.0,10.71,-16.0,2.67,-249
2017,573.0,-4.0,0.67,16.0,84.0,5.25,2.0,-0.33,-33
2018,562.0,-8.0,0.4,9.0,70.0,7.78,-2.0,0.1,-100
2019,473.0,-34.0,-5.66,26.0,71.0,2.73,0.0,0.0,-325
