Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,44.0,-2.0,-0.1,4.0,0.0,0.0,1.0,0.05,0
2011,150.0,10.0,1.41,35.0,-3.0,-0.0,13.0,1.86,602
2012,195.0,16.0,2.66,50.0,18.0,0.36,8.0,1.33,59
2013,133.0,-5.0,1.66,18.0,-1.0,-0.0,20.0,-6.67,-131
2014,118.0,-8.0,0.36,4.0,-32.0,-0.0,8.0,-0.36,-60
2015,233.0,-23.0,0.35,6.0,-48.0,-0.0,14.0,-0.22,-187
2016,137.0,-36.0,0.36,0.0,-52.0,0.0,3.0,-0.03,-56
2017,155.0,-29.0,0.35,3.0,-31.0,-0.0,-13.0,0.16,19
2018,152.0,-22.0,0.35,3.0,-26.0,-0.0,0.0,0.0,24
2019,144.0,-16.0,-0.68,5.0,-23.0,-0.0,6.0,0.26,27
