Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,339.0,9.0,0.6,12.0,0.0,0.0,-2.0,-0.13,0
2011,805.0,30.0,2.0,64.0,114.0,1.78,19.0,1.27,232
2012,1095.0,50.0,3.33,107.0,228.0,2.13,37.0,2.47,66
2013,1239.0,58.0,3.88,120.0,189.0,1.58,74.0,4.93,15
2014,1498.0,-48.0,-3.44,22.0,409.0,18.59,89.0,6.36,-182
2015,1245.0,-39.0,-2.78,6.0,349.0,58.17,84.0,6.0,18
2016,961.0,8.0,0.54,55.0,50.0,0.91,45.0,3.0,120
2017,1004.0,13.0,0.72,61.0,-19.0,-0.0,9.0,0.5,62
2018,1214.0,34.0,1.88,96.0,-37.0,-0.0,28.0,1.56,161
2019,1266.0,35.0,1.93,91.0,201.0,2.21,19.0,1.06,2
