Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,115.0,-2.0,-0.16,1.0,0.0,0.0,2.0,0.17,0
2011,268.0,0.0,0.0,13.0,66.0,5.08,0.0,0.0,100
2012,264.0,-2.0,-0.16,10.0,83.0,8.3,-9.0,-0.75,-20099
2013,343.0,4.0,0.32,17.0,106.0,6.24,-14.0,-1.17,301
2014,405.0,-3.0,-0.21,17.0,125.0,7.35,1.0,0.07,-174
2015,419.0,-1.0,-0.06,14.0,124.0,8.86,1.0,0.07,66
2016,396.0,-4.0,-0.26,10.0,107.0,10.7,18.0,1.2,-304
2017,411.0,-10.0,-0.67,9.0,131.0,14.56,-21.0,-1.4,-150
2018,403.0,-18.0,-1.18,-5.0,126.0,0.0,4.0,0.27,-80
2019,373.0,16.0,1.07,32.0,86.0,2.69,43.0,2.87,188
