Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,1034.0,14.0,0.4,115.0,144.0,1.25,-4.0,-0.11,0
2012,1200.0,37.0,1.08,143.0,136.0,0.95,14.0,0.41,164
2013,1607.0,33.0,0.99,166.0,433.0,2.61,49.0,1.48,-10
2014,1810.0,38.0,1.12,185.0,436.0,2.36,13.0,0.38,15
2015,2021.0,82.0,2.34,258.0,498.0,1.93,48.0,1.37,115
2016,2671.0,127.0,3.84,398.0,686.0,1.72,87.0,2.64,54
2017,3066.0,155.0,5.01,455.0,721.0,1.58,72.0,2.32,22
2018,3023.0,132.0,4.26,427.0,736.0,1.72,159.0,5.13,-14
2019,3126.0,61.0,1.96,332.0,744.0,2.24,-17.0,-0.55,-53
2020,3338.0,56.0,1.8,339.0,812.0,2.4,-41.0,-1.32,-8
