Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,66.0,-1.0,-0.03,2.0,0.0,0.0,2.0,0.06,0
2011,123.0,-9.0,-0.3,-8.0,-3.0,-0.0,-9.0,-0.3,-809
2012,114.0,-8.0,-0.26,-7.0,-1.0,-0.0,-5.0,-0.16,11
2013,121.0,4.0,0.12,4.0,-5.0,-0.0,0.0,0.0,150
2014,119.0,-2.0,-0.06,-1.0,-1.0,-0.0,-6.0,-0.19,-149
2015,137.0,-3.0,-0.33,-2.0,12.0,0.0,4.0,0.44,-50
2016,148.0,-13.0,-1.17,-9.0,5.0,0.0,3.0,0.27,-334
2017,245.0,1.0,0.06,4.0,11.0,2.75,-3.0,-0.19,107
2018,280.0,2.0,0.12,7.0,18.0,2.57,-16.0,-1.0,98
2019,305.0,-12.0,-0.62,0.0,8.0,0.0,-25.0,-1.32,-697
