Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2857.0,135.0,1.29,295.0,196.0,0.66,261.0,2.53,0
2011,2759.0,139.0,1.49,337.0,443.0,1.31,199.0,2.16,2
2012,2819.0,149.0,1.84,358.0,555.0,1.55,185.0,2.31,7
2013,2847.0,161.0,2.16,389.0,748.0,1.92,176.0,2.38,8
2014,2907.0,152.0,2.22,379.0,802.0,2.12,198.0,2.91,-5
2015,3001.0,193.0,3.0,457.0,918.0,2.01,230.0,3.59,26
2016,3255.0,199.0,3.41,473.0,1082.0,2.29,292.0,5.03,3
2017,3149.0,149.0,2.91,413.0,1460.0,3.54,216.0,4.24,-25
2018,3134.0,123.0,2.66,379.0,1628.0,4.3,203.0,4.41,-17
2019,3216.0,153.0,3.9,379.0,60.0,0.16,46.0,1.18,24
2020,3345.0,117.0,3.07,339.0,1318.0,3.89,180.0,4.86,-23
