Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,4312.0,952.0,0.72,1302.0,0.0,0.0,2047.0,1.58,0
2009,8724.0,2387.0,1.81,2267.0,-4942.0,-0.0,2342.0,1.8,150
2010,9155.0,1799.0,1.34,2814.0,-4828.0,-0.0,2023.0,1.52,-24
2011,11652.0,3229.0,2.44,3313.0,-3839.0,-0.0,2311.0,1.76,79
2012,14072.0,2609.0,1.97,4088.0,-4889.0,-0.0,2581.0,1.97,-19
2013,16047.0,2856.0,2.15,4031.0,-4902.0,-0.0,4317.0,3.29,9
2014,8790.0,46.0,0.03,3158.0,-208.0,-0.0,5055.0,4.04,-98
2015,8592.0,1725.0,1.4,2884.0,618.0,0.21,3365.0,2.76,3649
2016,9298.0,7266.0,6.34,3007.0,1811.0,0.6,2200.0,1.92,321
2017,9927.0,-1017.0,-0.96,2940.0,4152.0,1.41,2480.0,2.33,-113
2018,10746.0,2530.0,2.53,2918.0,4316.0,1.48,2007.0,2.03,348
2019,10800.0,1786.0,2.06,3002.0,4935.0,1.64,2560.0,2.99,-29
2020,10531.0,4680.0,5.96,3000.0,4309.0,1.44,2686.0,3.55,162
