Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,271.0,14.0,0.39,40.0,-85.0,-0.0,-40.0,-1.14,0
2012,280.0,16.0,0.45,42.0,-79.0,-0.0,-15.0,-0.42,14
2013,312.0,30.0,0.84,61.0,-117.0,-0.0,56.0,1.56,87
2014,402.0,36.0,0.98,123.0,-29.0,-0.0,81.0,2.19,19
2015,488.0,62.0,1.64,176.0,-62.0,-0.0,-1.0,-0.03,72
2016,486.0,51.0,1.29,142.0,-3.0,-0.0,-19.0,-0.48,-17
2017,558.0,80.0,1.94,164.0,-165.0,-0.0,153.0,3.73,56
2018,387.0,63.0,1.25,150.0,682.0,4.55,-26.0,-0.51,-21
2019,1104.0,54.0,1.03,228.0,643.0,2.82,102.0,1.96,-14
2020,1106.0,68.0,1.3,245.0,607.0,2.48,52.0,1.0,25
