Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,13325.0,1003.0,3.53,2952.0,10338.0,3.5,2353.0,8.29,0
2011,12886.0,1062.0,3.64,3155.0,10025.0,3.18,3037.0,10.4,5
2012,12188.0,1141.0,3.91,3324.0,10913.0,3.28,2138.0,7.32,7
2013,12354.0,1062.0,3.64,3274.0,11751.0,3.59,2178.0,7.46,-6
2014,12919.0,1092.0,3.74,3383.0,12207.0,3.61,2759.0,9.45,2
2015,12554.0,1193.0,4.07,3524.0,13330.0,3.78,2785.0,9.51,9
2016,12075.0,1245.0,4.15,3588.0,15052.0,4.2,2866.0,9.55,4
2017,12033.0,1525.0,4.96,3853.0,15809.0,4.1,2986.0,9.73,22
2018,6313.0,1382.0,4.42,3792.0,19816.0,5.23,2700.0,8.65,-9
2019,28742.0,1392.0,4.21,6009.0,20684.0,3.44,3111.0,9.46,0
