Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,2435.0,523.0,9.01,614.0,0.0,0.0,713.0,12.29,0
2010,4925.0,822.0,14.67,1268.0,-860.0,-0.0,721.0,12.88,57
2011,4869.0,437.0,437.0,472.0,-370.0,-0.0,360.0,360.0,-46
2012,5548.0,779.0,14.68,1140.0,-800.0,-0.0,577.0,10.89,78
2013,1335.0,163.0,3.12,247.0,-904.0,-0.0,219.0,4.21,-79
2014,1435.0,168.0,168.0,252.0,-24.0,-0.0,187.0,187.0,3
2015,1540.0,175.0,175.0,267.0,-149.0,-0.0,218.0,218.0,4
2016,1623.0,208.0,208.0,319.0,-129.0,-0.0,254.0,254.0,18
2017,1717.0,195.0,195.0,313.0,-102.0,-0.0,195.0,195.0,-6
2018,2405.0,286.0,5.48,366.0,-92.0,-0.0,262.0,5.04,46
2019,5032.0,315.0,6.04,1190.0,-159.0,-0.0,363.0,6.98,10
