Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,148.0,11.0,0.42,19.0,0.0,0.0,0.0,0.0,0
2010,605.0,43.0,2.15,90.0,128.0,1.42,55.0,2.75,290
2011,449.0,51.0,1.73,66.0,91.0,1.38,66.0,2.28,18
2012,476.0,45.0,1.53,61.0,85.0,1.39,46.0,1.59,-11
2013,488.0,-26.0,1.37,62.0,130.0,2.1,34.0,-1.79,-157
2014,529.0,0.0,0.0,77.0,5.0,0.06,31.0,31.0,100
2015,535.0,40.0,1.6,78.0,11.0,0.14,55.0,2.2,399900
2016,569.0,43.0,1.84,90.0,57.0,0.63,60.0,2.61,7
2017,685.0,52.0,3.03,110.0,230.0,2.09,39.0,2.29,20
2018,770.0,90.0,2.89,124.0,190.0,1.53,72.0,2.32,73
2019,810.0,79.0,3.02,139.0,225.0,1.62,85.0,3.27,-12
2020,799.0,148.0,5.81,131.0,54.0,0.41,59.0,2.36,87
