Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,2405.0,54.0,2.26,69.0,0.0,0.0,47.0,1.96,0
2010,4830.0,112.0,2.34,244.0,420.0,1.72,89.0,1.85,107
2011,5004.0,106.0,2.35,233.0,485.0,2.08,103.0,2.29,-5
2012,5078.0,110.0,2.76,236.0,494.0,2.09,159.0,3.98,3
2013,5083.0,120.0,3.01,245.0,512.0,2.09,47.0,1.18,9
2014,5326.0,110.0,2.83,239.0,795.0,3.33,56.0,1.44,-8
2015,5361.0,-45.0,-1.22,79.0,789.0,9.99,135.0,3.65,-140
2016,5367.0,62.0,1.71,161.0,673.0,4.18,128.0,3.56,237
2017,5035.0,-265.0,-7.36,-199.0,559.0,0.0,149.0,4.14,-527
2018,6255.0,-57.0,-1.55,12.0,564.0,47.0,-7.0,-0.19,78
