Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,9.0,4.0,4.0,4.0,-4.0,-0.0,0.0,0.0,0
2011,9.0,4.0,4.0,5.0,-6.0,-0.0,-2.0,-2.0,0
2012,9.0,4.0,4.0,4.0,2.0,0.5,-8.0,-8.0,0
2013,15.0,4.0,4.0,7.0,7.0,1.0,-3.0,-3.0,0
2014,25.0,7.0,2.32,11.0,5.0,0.45,1.0,0.33,74
2015,47.0,-117.0,-9.0,-113.0,-12.0,-0.0,-18.0,-1.38,-1769
2016,40.0,-53.0,-2.94,-26.0,3.0,0.0,-4.0,-0.22,54
2017,115.0,-44.0,-1.92,-22.0,3.0,0.0,-8.0,-0.35,16
2018,166.0,94.0,3.33,146.0,77.0,0.53,65.0,2.32,313
2019,161.0,87.0,3.08,153.0,116.0,0.76,55.0,1.9,-7
