Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,18.0,-20.0,-0.95,-1.0,0.0,0.0,9.0,0.43,0
2011,49.0,2.0,0.1,7.0,30.0,4.29,32.0,1.52,110
2012,48.0,4.0,0.2,14.0,41.0,2.93,21.0,1.0,99
2013,47.0,4.0,0.2,15.0,71.0,4.73,32.0,1.52,0
2014,45.0,5.0,0.25,16.0,102.0,6.38,17.0,0.81,24
2015,44.0,-3.0,-0.13,0.0,98.0,0.0,16.0,0.76,-159
2016,44.0,8.0,0.36,17.0,74.0,4.35,16.0,0.73,367
2017,47.0,5.0,0.22,16.0,91.0,5.69,12.0,0.55,-37
2018,50.0,11.0,0.48,19.0,45.0,2.37,18.0,0.82,119
2019,53.0,14.0,0.62,21.0,56.0,2.67,19.0,0.86,27
