Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,54.0,2.0,0.14,2.0,0.0,0.0,-13.0,-0.93,0
2011,213.0,8.0,0.56,14.0,21.0,1.5,-6.0,-0.43,298
2012,278.0,12.0,0.85,19.0,37.0,1.95,12.0,0.86,49
2013,366.0,9.0,0.63,23.0,26.0,1.13,1.0,0.07,-25
2014,458.0,15.0,1.07,30.0,26.0,0.87,2.0,0.14,66
2015,419.0,11.0,0.78,27.0,22.0,0.81,8.0,0.57,-26
2016,390.0,6.0,0.42,15.0,-16.0,-0.0,34.0,2.43,-45
2017,414.0,11.0,0.78,22.0,-25.0,-0.0,6.0,0.43,83
2018,446.0,10.0,0.7,21.0,-18.0,-0.0,-8.0,-0.57,-9
2019,381.0,0.0,0.0,12.0,-19.0,-0.0,-3.0,-0.21,-100
