Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0
2011,17.0,31.0,2.82,-4.0,-34.0,-0.0,1.0,0.09,1442
2012,23.0,5.0,0.45,5.0,-7.0,-0.0,-3.0,-0.27,-83
2013,23.0,4.0,0.36,4.0,-12.0,-0.0,2.0,0.18,-20
2014,27.0,4.0,0.36,7.0,-8.0,-0.0,-6.0,-0.55,0
2015,24.0,4.0,0.36,4.0,2.0,0.5,-3.0,-0.27,0
2016,24.0,4.0,0.36,5.0,-2.0,-0.0,2.0,0.18,0
2017,28.0,2.0,0.18,4.0,0.0,0.0,-1.0,-0.09,-50
2018,6.0,-12.0,-1.01,-13.0,-1.0,-0.0,-4.0,-0.33,-697
2019,24.0,-9.0,-0.74,-7.0,-1.0,-0.0,-2.0,-0.17,24
