Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,933.0,163.0,1.1,77.0,1260.0,16.36,779.0,5.3,0
2011,912.0,244.0,1.6,238.0,256.0,1.08,252.0,1.65,49
2012,911.0,280.0,1.9,273.0,142.0,0.52,295.0,2.01,14
2013,862.0,293.0,2.11,280.0,641.0,2.29,336.0,2.42,4
2014,1028.0,344.0,2.41,379.0,299.0,0.79,390.0,2.73,17
2015,1132.0,383.0,2.65,620.0,885.0,1.43,469.0,3.26,11
2016,1213.0,430.0,2.97,682.0,457.0,0.67,637.0,4.39,12
2017,1441.0,503.0,3.47,876.0,88.0,0.1,800.0,5.52,16
2018,1596.0,703.0,4.8,935.0,64.0,0.07,872.0,5.97,39
2019,1676.0,673.0,4.59,964.0,590.0,0.61,725.0,4.97,-4
