Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,126.0,14.0,0.22,26.0,0.0,0.0,21.0,0.35,0
2011,270.0,31.0,0.5,58.0,-109.0,-0.0,43.0,0.73,121
2012,290.0,36.0,0.62,64.0,-133.0,-0.0,43.0,0.75,16
2013,294.0,36.0,0.62,67.0,-155.0,-0.0,56.0,1.0,0
2014,302.0,40.0,0.72,71.0,-153.0,-0.0,43.0,0.78,11
2015,310.0,41.0,0.74,75.0,-170.0,-0.0,54.0,1.0,2
2016,314.0,46.0,0.83,74.0,-172.0,-0.0,54.0,1.0,12
2017,346.0,40.0,0.75,85.0,-195.0,-0.0,62.0,1.17,-13
2018,378.0,71.0,1.3,94.0,-208.0,-0.0,74.0,1.37,77
2019,416.0,80.0,1.48,104.0,-231.0,-0.0,86.0,1.62,12
