Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,38.0,-29.0,-0.65,-3.0,0.0,0.0,-5.0,-0.11,0
2011,80.0,-21.0,-0.46,-16.0,-36.0,-0.0,0.0,0.0,27
2012,74.0,-13.0,-0.27,-9.0,-28.0,-0.0,-6.0,-0.13,38
2013,56.0,-10.0,-0.22,-9.0,-27.0,-0.0,-14.0,-0.3,23
2014,45.0,-6.0,-0.13,-2.0,-20.0,-0.0,-2.0,-0.04,39
2015,46.0,0.0,0.0,2.0,-13.0,-0.0,-10.0,-0.24,100
2016,29.0,-9.0,-0.2,-8.0,-3.0,-0.0,-11.0,-0.26,-90100
2017,24.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.04,100
2018,16.0,-2.0,-0.02,0.0,0.0,0.0,-6.0,-0.06,-20099
2019,14.0,-2.0,-0.4,0.0,2.0,0.0,-2.0,-0.4,0
