Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,462.0,-50.0,-3.32,-32.0,2.0,0.0,16.0,1.07,0
2012,497.0,-25.0,-1.65,6.0,10.0,1.67,4.0,0.27,49
2013,512.0,-8.0,-0.52,21.0,1.0,0.05,12.0,0.8,67
2014,527.0,10.0,0.61,38.0,-30.0,-0.0,33.0,2.06,225
2015,543.0,0.0,0.0,23.0,-35.0,-0.0,10.0,0.63,-100
2016,543.0,71.0,4.43,18.0,-45.0,-0.0,9.0,0.56,709899
2017,540.0,21.0,1.31,65.0,21.0,0.32,1.0,0.06,-70
2018,604.0,-17.0,-1.06,37.0,87.0,2.35,-22.0,-1.38,-180
2019,594.0,-71.0,-4.42,8.0,86.0,10.75,4.0,0.25,-317
2020,578.0,-48.0,-3.04,35.0,61.0,1.74,54.0,3.18,32
