Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-2.0,-0.5,-2.0,0.0,0.0,0.0,0.0,0
2011,0.0,-34.0,1.36,-34.0,-22.0,-0.0,-8.0,0.32,-1608
2012,0.0,-25.0,1.37,-25.0,-27.0,-0.0,-12.0,0.67,26
2013,0.0,-34.0,-34.0,-34.0,-86.0,-0.0,-30.0,-30.0,-36
2014,0.0,-18.0,-18.0,-18.0,-55.0,-0.0,-15.0,-15.0,47
2015,3.0,-52.0,-52.0,-49.0,-75.0,-0.0,-22.0,-22.0,-189
2016,33.0,-69.0,-69.0,-61.0,-66.0,-0.0,-49.0,-49.0,-32
2017,15.0,-98.0,-98.0,-86.0,-78.0,-0.0,-81.0,-81.0,-42
2018,26.0,-140.0,-140.0,-114.0,-3.0,-0.0,-104.0,-104.0,-42
2019,35.0,-99.0,-1.82,-83.0,-52.0,-0.0,-98.0,-1.81,29
