Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,0.66,1.0,0.0,0.0,0.0,0.0,0
2011,22.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,99
2012,26.0,4.0,2.0,5.0,-4.0,-0.0,7.0,3.5,0
2013,33.0,4.0,1.0,5.0,-1.0,-0.0,11.0,2.75,0
2014,38.0,5.0,1.0,10.0,69.0,6.9,5.0,1.0,24
2015,43.0,8.0,1.6,13.0,97.0,7.46,4.0,0.8,59
2016,50.0,8.0,1.6,15.0,48.0,3.2,4.0,0.8,0
2017,71.0,9.0,0.99,20.0,72.0,3.6,15.0,1.67,12
2018,103.0,19.0,1.45,29.0,95.0,3.28,27.0,2.08,110
2019,179.0,63.0,3.69,68.0,205.0,3.01,38.0,2.24,231
