Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,13.0,2.0,0.66,1.0,0.0,0.0,1.0,0.33,0
2011,27.0,4.0,1.32,4.0,20.0,5.0,4.0,1.33,99
2012,25.0,2.0,0.66,2.0,24.0,12.0,0.0,0.0,-50
2013,24.0,4.0,1.32,5.0,7.0,1.4,3.0,1.0,99
2014,24.0,4.0,1.32,4.0,7.0,1.75,-2.0,-0.67,0
2015,24.0,0.0,-0.01,-2.0,12.0,0.0,1.0,0.33,-100
2016,24.0,4.0,1.32,5.0,12.0,2.4,2.0,0.67,39900
2017,25.0,2.0,0.66,6.0,6.0,1.0,1.0,0.33,-50
2018,28.0,4.0,1.32,7.0,21.0,3.0,2.0,0.67,99
2019,28.0,5.0,1.65,8.0,11.0,1.38,3.0,1.0,24
