Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,39.0,1.0,0.06,5.0,0.0,0.0,-3.0,-0.18,0
2012,169.0,6.0,0.36,22.0,20.0,0.91,10.0,0.59,494
2013,189.0,12.0,0.71,27.0,16.0,0.59,10.0,0.59,99
2014,204.0,15.0,0.93,32.0,17.0,0.53,14.0,0.88,24
2015,208.0,10.0,0.62,30.0,9.0,0.3,22.0,1.38,-33
2016,198.0,6.0,0.43,22.0,28.0,1.27,27.0,1.93,-40
2017,183.0,-6.0,-0.46,3.0,38.0,12.67,10.0,0.77,-199
2018,207.0,-5.0,-0.37,12.0,34.0,2.83,11.0,0.85,16
2019,224.0,-1.0,-1.0,18.0,11.0,0.61,25.0,25.0,79
2020,232.0,3.0,3.0,20.0,15.0,0.75,28.0,2.15,403
