Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2011,19.0,4.0,2.0,5.0,2.0,0.4,2.0,1.0,99
2012,20.0,4.0,2.0,5.0,-6.0,-0.0,2.0,1.0,0
2013,20.0,4.0,2.0,8.0,-5.0,-0.0,5.0,2.5,0
2014,20.0,4.0,2.0,8.0,-13.0,-0.0,2.0,1.0,0
2015,21.0,4.0,2.0,8.0,-14.0,-0.0,3.0,1.5,0
2016,28.0,4.0,1.32,11.0,-18.0,-0.0,2.0,0.67,0
2017,31.0,6.0,2.0,11.0,-9.0,-0.0,7.0,2.33,49
2018,31.0,8.0,2.64,12.0,-17.0,-0.0,7.0,2.33,33
2019,34.0,8.0,2.64,14.0,-19.0,-0.0,5.0,1.67,0
