Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,331.0,14.0,0.3,32.0,0.0,0.0,86.0,1.87,0
2010,711.0,38.0,0.81,86.0,12.0,0.14,83.0,1.8,171
2011,820.0,62.0,1.32,121.0,10.0,0.08,78.0,1.7,63
2012,889.0,83.0,1.79,153.0,62.0,0.41,36.0,0.78,33
2013,963.0,81.0,1.7,152.0,55.0,0.36,33.0,0.7,-2
2014,1046.0,69.0,1.45,135.0,118.0,0.87,14.0,0.3,-14
2015,923.0,72.0,1.52,131.0,138.0,1.05,74.0,1.57,4
2016,948.0,77.0,1.66,146.0,85.0,0.58,83.0,1.8,6
2017,1124.0,76.0,1.64,151.0,158.0,1.05,36.0,0.78,-1
2018,1296.0,104.0,2.25,167.0,147.0,0.88,108.0,2.35,36
2019,1313.0,94.0,2.02,159.0,50.0,0.31,158.0,3.43,-9
