Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,117.0,8.0,0.22,15.0,0.0,0.0,7.0,0.21,0
2011,308.0,32.0,0.83,57.0,-145.0,-0.0,27.0,0.71,299
2012,350.0,33.0,0.82,59.0,-145.0,-0.0,56.0,1.44,3
2013,444.0,73.0,1.71,99.0,-190.0,-0.0,44.0,1.05,121
2014,39.0,52.0,1.23,68.0,-211.0,-0.0,44.0,1.05,-28
2015,64.0,44.0,1.05,56.0,-228.0,-0.0,35.0,0.85,-15
2016,311.0,54.0,1.3,45.0,-305.0,-0.0,85.0,2.07,22
2017,605.0,22.0,0.53,19.0,-234.0,-0.0,33.0,0.83,-59
2018,696.0,51.0,1.22,59.0,-293.0,-0.0,79.0,1.93,131
2019,257.0,86.0,1.97,79.0,-316.0,-0.0,27.0,0.63,68
