Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,72.0,21.0,0.7,17.0,0.0,0.0,10.0,0.33,0
2011,156.0,34.0,1.13,67.0,629.0,9.39,58.0,1.93,61
2012,158.0,33.0,1.1,64.0,908.0,14.19,64.0,2.13,-2
2013,153.0,35.0,1.17,70.0,978.0,13.97,69.0,2.3,6
2014,156.0,43.0,1.48,80.0,1022.0,12.78,50.0,1.72,22
2015,169.0,44.0,1.52,85.0,1209.0,14.22,51.0,1.76,2
2016,222.0,63.0,2.25,117.0,1231.0,10.52,81.0,2.89,43
2017,182.0,39.0,1.33,76.0,1258.0,16.55,74.0,2.55,-38
2018,175.0,108.0,1.87,77.0,1202.0,15.61,111.0,1.95,176
2019,162.0,94.0,2.79,60.0,1336.0,22.27,106.0,1.61,-12
