Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,158.0,22.0,0.27,34.0,0.0,0.0,143.0,1.81,0
2010,881.0,150.0,2.15,260.0,-427.0,-0.0,300.0,4.35,581
2011,1149.0,239.0,3.09,380.0,-541.0,-0.0,388.0,5.04,59
2012,1375.0,273.0,3.48,465.0,-531.0,-0.0,466.0,5.97,14
2013,1480.0,276.0,3.48,476.0,-541.0,-0.0,473.0,5.99,1
2014,1731.0,310.0,4.41,541.0,-644.0,-0.0,525.0,7.5,12
2015,1918.0,364.0,5.1,611.0,-773.0,-0.0,624.0,8.79,17
2016,1993.0,363.0,5.47,591.0,-881.0,-0.0,648.0,9.82,0
2017,2087.0,419.0,6.43,635.0,-1016.0,-0.0,702.0,10.8,15
2018,2160.0,451.0,8.03,662.0,-1038.0,-0.0,709.0,12.66,7
2019,2240.0,425.0,7.7,607.0,-972.0,-0.0,644.0,11.71,-5
2020,2835.0,393.0,6.97,574.0,-1161.0,-0.0,590.0,9.83,-7
