Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,156.0,18.0,0.37,36.0,0.0,0.0,0.0,0.0,0
2010,604.0,61.0,1.43,146.0,320.0,2.19,90.0,2.14,238
2011,617.0,70.0,2.24,150.0,285.0,1.9,122.0,3.94,14
2012,675.0,90.0,2.42,188.0,430.0,2.29,105.0,2.84,28
2013,742.0,88.0,2.3,193.0,404.0,2.09,111.0,2.92,-2
2014,787.0,92.0,2.68,193.0,461.0,2.39,162.0,4.76,4
2015,837.0,84.0,2.88,170.0,555.0,3.26,122.0,4.21,-8
2016,879.0,108.0,3.98,201.0,529.0,2.63,188.0,6.96,28
2017,930.0,127.0,3.96,211.0,539.0,2.55,205.0,6.41,17
2018,1031.0,141.0,4.84,248.0,714.0,2.88,190.0,6.55,11
2019,1159.0,191.0,4.88,285.0,764.0,2.68,236.0,6.05,35
2020,1532.0,230.0,6.88,324.0,881.0,2.72,260.0,8.97,20
