Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2572.0,135.0,0.99,289.0,120.0,0.42,198.0,1.45,0
2011,2771.0,123.0,0.6,282.0,318.0,1.13,54.0,0.27,-8
2012,3030.0,134.0,0.66,319.0,593.0,1.86,132.0,0.64,8
2013,3731.0,229.0,1.1,452.0,915.0,2.02,161.0,0.78,70
2014,3746.0,175.0,0.83,402.0,755.0,1.88,251.0,1.2,-23
2015,3777.0,187.0,0.88,429.0,990.0,2.31,245.0,1.17,6
2016,3925.0,163.0,0.78,403.0,951.0,2.36,263.0,1.26,-12
2017,3918.0,149.0,0.71,309.0,827.0,2.68,219.0,1.05,-8
2018,3950.0,155.0,0.72,347.0,975.0,2.81,195.0,0.92,4
2019,4121.0,163.0,0.75,366.0,854.0,2.33,264.0,1.25,5
