Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,25.0,3.0,0.5,3.0,0.0,0.0,6.0,1.0,0
2011,61.0,9.0,1.49,21.0,138.0,6.57,10.0,1.67,199
2012,66.0,12.0,2.0,25.0,101.0,4.04,17.0,2.83,33
2013,68.0,12.0,2.4,26.0,126.0,4.85,19.0,3.8,0
2014,68.0,13.0,2.17,27.0,122.0,4.52,14.0,2.33,8
2015,74.0,15.0,2.14,28.0,127.0,4.54,16.0,2.29,15
2016,96.0,19.0,1.9,41.0,210.0,5.12,23.0,2.3,26
2017,121.0,25.0,2.08,49.0,174.0,3.55,42.0,3.5,31
2018,145.0,35.0,2.49,53.0,285.0,5.38,36.0,2.57,39
2019,179.0,45.0,2.79,73.0,269.0,3.68,57.0,3.56,28
