Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,183.0,5.0,0.1,-2.0,0.0,0.0,14.0,0.29,0
2010,385.0,-11.0,-0.15,-39.0,35.0,0.0,173.0,2.4,-319
2011,381.0,34.0,0.47,39.0,129.0,3.31,159.0,2.18,409
2012,373.0,-22.0,-0.3,-43.0,65.0,0.0,166.0,2.27,-164
2013,399.0,78.0,1.07,126.0,80.0,0.63,125.0,1.71,454
2014,401.0,67.0,0.9,99.0,220.0,2.22,115.0,1.55,-14
2015,445.0,80.0,1.05,118.0,252.0,2.14,147.0,1.91,19
2016,506.0,90.0,1.14,136.0,918.0,6.75,254.0,3.22,12
2017,634.0,96.0,0.96,194.0,717.0,3.7,236.0,2.34,6
2018,660.0,156.0,1.51,233.0,898.0,3.85,229.0,2.25,62
2019,748.0,199.0,1.83,306.0,1677.0,5.48,211.0,1.95,27
