Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,24.0,4.0,0.3,5.0,0.0,0.0,3.0,0.23,0
2011,46.0,8.0,0.45,12.0,57.0,4.75,7.0,0.39,99
2012,47.0,8.0,0.44,16.0,52.0,3.25,6.0,0.33,0
2013,48.0,6.0,0.34,12.0,73.0,6.08,10.0,0.56,-25
2014,50.0,8.0,0.44,12.0,60.0,5.0,7.0,0.39,33
2015,67.0,7.0,0.33,13.0,191.0,14.69,2.0,0.09,-12
2016,89.0,19.0,0.72,31.0,172.0,5.55,19.0,0.7,171
2017,96.0,20.0,0.76,36.0,238.0,6.61,27.0,1.0,5
2018,101.0,31.0,1.12,42.0,193.0,4.6,34.0,1.26,54
2019,107.0,33.0,1.2,45.0,-9.0,-0.0,33.0,1.22,6
