Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,399.0,72.0,0.63,127.0,1034.0,8.14,152.0,1.35,0
2011,434.0,85.0,0.7,140.0,945.0,6.75,272.0,2.19,18
2012,502.0,108.0,0.78,184.0,1160.0,6.3,532.0,3.83,27
2013,530.0,116.0,0.79,192.0,1263.0,6.58,329.0,2.25,7
2014,623.0,142.0,0.84,245.0,2386.0,9.74,427.0,2.56,22
2015,659.0,159.0,0.91,273.0,2482.0,9.09,212.0,1.22,11
2016,811.0,170.0,0.83,305.0,2739.0,8.98,233.0,1.13,6
2017,1097.0,197.0,0.65,443.0,3938.0,8.89,223.0,0.74,15
2018,1207.0,371.0,1.12,559.0,4305.0,7.7,576.0,1.78,88
2019,1211.0,387.0,1.18,516.0,4149.0,8.04,213.0,0.66,4
