Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,30.0,-3.0,-0.43,-1.0,0.0,0.0,-6.0,-0.86,0
2011,59.0,-1.0,-0.15,1.0,-15.0,-0.0,1.0,0.14,66
2012,66.0,4.0,0.52,7.0,-21.0,-0.0,0.0,0.0,504
2013,119.0,-1.0,-0.12,20.0,-41.0,-0.0,73.0,9.13,-124
2014,199.0,35.0,2.92,60.0,-40.0,-0.0,60.0,5.0,3635
2015,241.0,36.0,2.78,68.0,-49.0,-0.0,48.0,3.69,2
2016,305.0,1.0,0.08,7.0,-70.0,-0.0,64.0,4.92,-97
2017,390.0,4.0,0.3,13.0,-37.0,-0.0,11.0,0.85,296
2018,394.0,13.0,1.07,22.0,-20.0,-0.0,26.0,2.17,224
2019,403.0,2.0,0.14,3.0,-35.0,-0.0,31.0,2.38,-84
