Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-26.0,-0.97,-14.0,0.0,0.0,-12.0,-0.44,0
2011,19.0,-42.0,-1.23,-44.0,-54.0,-0.0,-51.0,-1.5,-61
2012,17.0,-48.0,-1.07,-48.0,-96.0,-0.0,-39.0,-0.87,-14
2013,2.0,-58.0,-1.13,-60.0,-66.0,-0.0,-48.0,-0.94,-20
2014,3.0,-67.0,-0.9,-65.0,-138.0,-0.0,-54.0,-0.73,-15
2015,0.0,-130.0,-1.19,-127.0,-172.0,-0.0,-103.0,-0.94,-94
2016,4.0,-198.0,-1.47,-196.0,-120.0,-0.0,-152.0,-1.13,-52
2017,35.0,-282.0,-1.84,-431.0,-186.0,-0.0,-216.0,-1.41,-42
2018,89.0,-347.0,-1.85,-320.0,-182.0,-0.0,-302.0,-1.63,-23
2019,181.0,-354.0,-1.47,-338.0,-302.0,-0.0,-265.0,-1.1,-2
