Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,5.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0
2011,20.0,-2.0,-0.26,-2.0,-14.0,-0.0,-8.0,-1.0,-298
2012,28.0,-8.0,-1.02,-4.0,-5.0,-0.0,-8.0,-1.0,-302
2013,28.0,0.0,0.0,2.0,-7.0,-0.0,0.0,0.0,100
2014,32.0,0.0,0.0,2.0,-7.0,-0.0,-4.0,-0.5,-100
2015,28.0,0.0,0.0,0.0,-4.0,0.0,-7.0,-0.88,-100
2016,26.0,4.0,0.52,4.0,-4.0,-0.0,-5.0,-0.63,39900
2017,23.0,2.0,0.26,2.0,-4.0,-0.0,0.0,0.0,-50
2018,33.0,4.0,0.44,4.0,-1.0,-0.0,-3.0,-0.33,99
2019,36.0,-4.0,-0.44,-2.0,-1.0,-0.0,-4.0,-0.44,-199
2020,34.0,-4.0,-0.44,0.0,0.0,0.0,-4.0,-0.44,0
