Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,2.0,0.22,3.0,0.0,0.0,0.0,0.0,0
2011,115.0,10.0,0.9,21.0,49.0,2.33,14.0,1.27,397
2012,124.0,6.0,0.98,23.0,61.0,2.65,12.0,2.0,-40
2013,31.0,14.0,1.54,20.0,55.0,2.75,18.0,2.0,132
2014,29.0,8.0,1.12,14.0,54.0,3.86,5.0,0.71,-42
2015,31.0,7.0,1.4,16.0,47.0,2.94,10.0,2.0,-12
2016,40.0,10.0,1.23,28.0,41.0,1.46,-9.0,-1.13,42
2017,12.0,59.0,4.2,3.0,87.0,29.0,15.0,1.07,489
2018,17.0,122.0,13.55,5.0,66.0,13.2,-44.0,-4.89,106
2019,20.0,13.0,1.44,10.0,62.0,6.2,44.0,4.89,-89
