Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,2305.0,189.0,0.73,296.0,0.0,0.0,166.0,0.64,0
2009,2191.0,198.0,0.78,314.0,-79.0,-0.0,392.0,1.57,4
2010,4124.0,376.0,1.52,647.0,48.0,0.07,87.0,0.36,89
2011,5097.0,401.0,1.63,667.0,279.0,0.42,-106.0,-0.44,6
2012,6149.0,433.0,1.79,773.0,1298.0,1.68,-264.0,-1.1,7
2013,7124.0,505.0,2.09,961.0,972.0,1.01,491.0,2.05,16
2014,7941.0,703.0,2.97,1329.0,666.0,0.5,488.0,2.07,39
2015,11471.0,14.0,0.1,509.0,0.0,0.0,403.0,3.17,-98
2016,9197.0,369.0,2.94,763.0,-3717.0,-0.0,220.0,1.76,2533
2017,15250.0,134.0,0.28,1552.0,-2883.0,-0.0,-28.0,-0.06,-63
2018,12551.0,-1911.0,-4.18,-692.0,-1349.0,-0.0,-532.0,-1.16,-1526
2019,13408.0,-2413.0,-5.38,-1238.0,-715.0,-0.0,403.0,0.9,-26
