Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,70.0,-7.0,-0.26,10.0,0.0,0.0,7.0,0.27,0
2011,256.0,30.0,0.54,75.0,-45.0,-0.0,27.0,0.51,529
2012,311.0,48.0,0.96,74.0,29.0,0.39,35.0,0.71,59
2013,369.0,34.0,0.68,73.0,59.0,0.81,30.0,0.6,-29
2014,319.0,53.0,0.95,66.0,42.0,0.64,33.0,0.6,55
2015,268.0,-13.0,0.75,21.0,48.0,2.29,9.0,-0.53,-124
2016,188.0,-92.0,0.72,4.0,43.0,10.75,-10.0,0.08,-608
2017,242.0,-35.0,0.73,1.0,23.0,23.0,11.0,-0.23,61
2018,176.0,-69.0,0.62,-67.0,46.0,0.0,-20.0,0.18,-97
2019,117.0,-39.0,-0.66,-64.0,-100.0,-0.0,-23.0,-0.4,43
