Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,105.0,-85.0,-42.5,-69.0,0.0,0.0,6.0,3.0,0
2011,179.0,15.0,0.39,34.0,257.0,7.56,55.0,1.49,117
2012,149.0,3.0,0.07,9.0,410.0,45.56,8.0,0.19,-80
2013,268.0,27.0,0.69,54.0,765.0,14.17,-23.0,-0.61,797
2014,367.0,26.0,0.52,62.0,688.0,11.1,129.0,2.63,-3
2015,433.0,11.0,0.22,39.0,870.0,22.31,57.0,1.14,-57
2016,1.0,37.0,0.75,75.0,835.0,11.13,180.0,3.75,236
2017,0.0,-9.0,-0.19,19.0,904.0,47.58,-14.0,-0.3,-124
2018,8.0,93.0,2.15,75.0,698.0,9.31,-141.0,-3.28,1134
2019,235.0,-31.0,-0.83,-72.0,876.0,0.0,112.0,3.03,-133
