Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,178.0,20.0,0.28,34.0,0.0,0.0,19.0,0.28,0
2011,466.0,51.0,0.81,95.0,-208.0,-0.0,70.0,1.15,154
2012,549.0,45.0,1.26,93.0,-262.0,-0.0,61.0,1.74,-11
2013,575.0,33.0,0.87,77.0,-389.0,-0.0,87.0,2.35,-26
2014,610.0,41.0,0.99,105.0,-546.0,-0.0,30.0,0.73,24
2015,692.0,38.0,0.73,106.0,-614.0,-0.0,110.0,2.16,-7
2016,716.0,41.0,0.82,125.0,-610.0,-0.0,71.0,1.42,7
2017,888.0,84.0,1.56,169.0,-806.0,-0.0,173.0,3.26,104
2018,1040.0,117.0,2.14,196.0,-997.0,-0.0,189.0,3.5,39
2019,1341.0,98.0,1.84,670.0,-982.0,-0.0,112.0,2.11,-16
