Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,111387.0,11660.0,0.8,36613.0,0.0,0.0,26843.0,1.88,0
2009,153432.0,11225.0,1.04,48795.0,381612.0,7.82,29720.0,2.8,-3
2010,148416.0,12179.0,1.12,49296.0,712911.0,14.46,33532.0,3.13,8
2011,141479.0,14443.0,1.24,43567.0,279599.0,6.42,26589.0,2.31,18
2012,144121.0,13864.0,1.3,38980.0,256859.0,6.59,22396.0,2.12,-4
2013,110137.0,13355.0,1.29,17171.0,215310.0,12.54,41171.0,4.0,-3
2014,116406.0,15345.0,1.49,17940.0,209779.0,11.69,23498.0,2.31,14
2015,115158.0,-5795.0,-0.58,18968.0,95146.0,5.02,27565.0,2.74,-137
2016,119468.0,7210.0,0.71,22370.0,43769.0,1.96,24690.0,2.47,224
2017,120468.0,-6057.0,-0.76,8590.0,51928.0,6.05,11642.0,1.45,-184
2018,121615.0,-22443.0,-2.64,-810.0,117105.0,0.0,15.0,0.0,-270
2019,7728.0,-4912.0,-0.62,9285.0,5967.0,0.64,7412.0,0.91,78
