Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-25.0,-25.0,-23.0,0.0,0.0,-7.0,-7.0,0
2011,63.0,-47.0,-2.11,-38.0,-67.0,-0.0,-38.0,-1.73,-88
2012,23.0,-60.0,-1.86,-47.0,-18.0,-0.0,-116.0,-3.63,-27
2013,4.0,-65.0,-21.66,-45.0,0.0,0.0,-54.0,-18.0,-8
2014,27.0,-40.0,-40.0,-16.0,9.0,0.0,-42.0,-42.0,38
2015,28.0,-34.0,-34.0,-16.0,-2.0,-0.0,-31.0,-31.0,14
2016,25.0,-35.0,-35.0,-17.0,-19.0,-0.0,-24.0,-24.0,-2
2017,25.0,-23.0,-23.0,-7.0,-11.0,-0.0,-24.0,-24.0,34
2018,32.0,-26.0,-6.5,-13.0,-33.0,-0.0,-18.0,-4.5,-13
2019,23.0,-27.0,-2.24,-19.0,-1.0,-0.0,-25.0,-2.08,-3
