Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2011,23.0,4.0,2.0,4.0,101.0,25.25,2.0,1.0,99
2012,22.0,2.0,1.0,3.0,105.0,35.0,7.0,3.5,-50
2013,24.0,4.0,2.0,7.0,77.0,11.0,9.0,4.5,99
2014,22.0,4.0,1.0,8.0,82.0,10.25,4.0,1.0,0
2015,24.0,4.0,1.0,8.0,64.0,8.0,4.0,1.0,0
2016,24.0,4.0,1.0,8.0,108.0,13.5,2.0,0.5,0
2017,27.0,4.0,1.0,7.0,105.0,15.0,8.0,2.0,0
2018,38.0,5.0,1.25,7.0,127.0,18.14,8.0,2.0,24
2019,37.0,8.0,2.0,11.0,86.0,7.82,3.0,0.75,59
