Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3080.0,4.0,0.24,12.0,0.0,0.0,-85.0,-5.0,0
2011,14834.0,18.0,0.86,88.0,-4.0,-0.0,-28.0,-1.33,348
2012,17625.0,45.0,1.73,139.0,-5.0,-0.0,197.0,7.58,149
2013,19588.0,41.0,1.53,168.0,142.0,0.85,199.0,7.37,-8
2014,17267.0,116.0,4.3,256.0,356.0,1.39,255.0,9.44,182
2015,10314.0,43.0,1.35,236.0,655.0,2.78,-26.0,-0.81,-62
2016,8238.0,-236.0,-7.15,-32.0,923.0,0.0,-112.0,-3.39,-648
2017,8918.0,55.0,1.67,231.0,773.0,3.35,332.0,10.06,123
2018,12670.0,102.0,3.08,309.0,759.0,2.46,120.0,3.64,85
2019,14582.0,33.0,0.97,252.0,826.0,3.28,30.0,0.88,-67
