Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,746.0,40.0,0.84,52.0,0.0,0.0,33.0,0.7,0
2011,1611.0,41.0,0.91,158.0,189.0,1.2,81.0,1.84,2
2012,1584.0,57.0,1.36,168.0,153.0,0.91,63.0,1.54,38
2013,1724.0,66.0,1.52,136.0,320.0,2.35,72.0,1.67,15
2014,1808.0,67.0,1.58,177.0,304.0,1.72,40.0,0.95,1
2015,1665.0,62.0,1.44,158.0,255.0,1.61,59.0,1.4,-7
2016,760.0,20.0,1.66,10.0,316.0,31.6,-31.0,-2.58,-67
2017,800.0,8.0,1.6,74.0,365.0,4.93,-27.0,-5.4,-60
2018,864.0,-177.0,-177.0,70.0,268.0,3.83,-43.0,-43.0,-2309
2019,926.0,-22.0,-0.51,13.0,232.0,17.85,77.0,1.75,87
