Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,-2.0,-4.0,-1.0,-3.0,-4.0,-0.0,-2.0,-0.5,0
2011,0.0,-8.0,-0.99,-8.0,-4.0,-0.0,-10.0,-1.25,-100
2012,0.0,-13.0,-1.17,-13.0,-6.0,-0.0,-10.0,-0.91,-62
2013,0.0,-16.0,-0.92,-16.0,-22.0,-0.0,-15.0,-0.88,-23
2014,0.0,-17.0,1.7,-16.0,-33.0,-0.0,-13.0,1.3,-6
2015,0.0,-36.0,2.76,-36.0,-53.0,-0.0,-27.0,2.08,-111
2016,0.0,-40.0,2.65,-40.0,-39.0,-0.0,-33.0,2.2,-11
2017,0.0,-33.0,2.73,-32.0,-33.0,-0.0,-31.0,2.58,17
2018,0.0,-29.0,2.9,-29.0,-12.0,-0.0,-25.0,2.5,12
2019,0.0,-17.0,-10.4,-17.0,-2.0,-0.0,-18.0,-18.0,41
