Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,2945.0,702.0,3.52,879.0,-1110.0,-0.0,1044.0,5.22,0
2010,2688.0,582.0,2.96,646.0,-1284.0,-0.0,739.0,3.77,-17
2011,2756.0,519.0,2.67,644.0,-1398.0,-0.0,787.0,4.06,-10
2012,2714.0,540.0,2.77,678.0,-1384.0,-0.0,647.0,3.32,4
2013,2629.0,610.0,3.13,695.0,-1328.0,-0.0,575.0,2.95,12
2014,2869.0,363.0,1.88,764.0,-1363.0,-0.0,452.0,2.35,-40
2015,2818.0,454.0,2.39,615.0,-1048.0,-0.0,208.0,1.09,25
2016,3017.0,510.0,2.71,681.0,-1112.0,-0.0,615.0,3.27,12
2017,3085.0,692.0,3.71,729.0,-1052.0,-0.0,521.0,2.79,35
2018,3346.0,693.0,3.65,870.0,-1383.0,-0.0,765.0,4.05,0
2019,3402.0,704.0,3.69,880.0,-1312.0,-0.0,711.0,3.74,1
