Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,8.0,2.0,0.12,1.0,0.0,0.0,0.0,0.0,0
2011,19.0,2.0,0.12,2.0,-2.0,-0.0,0.0,0.0,0
2012,22.0,-3.0,-0.17,0.0,-3.0,0.0,-2.0,-0.11,-249
2013,22.0,5.0,0.26,4.0,-6.0,-0.0,1.0,0.05,267
2014,24.0,4.0,0.2,5.0,-11.0,-0.0,2.0,0.1,-20
2015,28.0,4.0,0.2,6.0,-18.0,-0.0,2.0,0.1,0
2016,31.0,4.0,0.2,5.0,-10.0,-0.0,2.0,0.1,0
2017,32.0,2.0,0.1,4.0,-15.0,-0.0,1.0,0.05,-50
2018,32.0,3.0,0.13,5.0,-9.0,-0.0,1.0,0.05,49
2019,39.0,11.0,0.59,16.0,42.0,2.63,11.0,0.61,265
