Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,29.0,11.0,0.79,27.0,0.0,0.0,7.0,0.5,0
2011,166.0,28.0,2.14,-5.0,398.0,0.0,80.0,6.15,154
2012,209.0,47.0,3.62,54.0,-374.0,-0.0,119.0,9.15,67
2013,164.0,32.0,2.48,29.0,247.0,8.52,81.0,6.23,-31
2014,180.0,42.0,3.24,91.0,404.0,4.44,48.0,3.69,31
2015,180.0,45.0,3.23,74.0,291.0,3.93,58.0,4.14,7
2016,190.0,43.0,3.08,73.0,296.0,4.05,71.0,5.07,-4
2017,191.0,50.0,3.58,81.0,-34.0,-0.0,56.0,4.0,16
2018,202.0,65.0,4.62,71.0,286.0,4.03,85.0,6.07,29
2019,210.0,71.0,5.05,97.0,313.0,3.23,74.0,5.29,9
