Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,5.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0
2011,19.0,-2.0,-1.0,-2.0,2.0,0.0,0.0,0.0,-102
2012,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100
2013,21.0,-2.0,-2.0,0.0,-4.0,0.0,-4.0,-4.0,-20099
2014,26.0,-2.0,-2.0,2.0,-7.0,-0.0,-2.0,-2.0,0
2015,41.0,0.0,-2.0,0.0,-10.0,0.0,-3.0,-3.0,100
2016,63.0,0.0,0.0,2.0,-4.0,-0.0,-4.0,-4.0,-100
2017,77.0,-4.0,-4.0,4.0,2.0,0.5,-9.0,-9.0,-40099
2018,97.0,-2.0,-2.0,4.0,5.0,1.25,-3.0,-3.0,49
2019,109.0,-5.0,-0.41,2.0,10.0,5.0,-3.0,-0.25,-151
2020,114.0,-5.0,-0.4,2.0,11.0,5.5,0.0,0.0,0
