Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,15.0,-2.0,-0.08,1.0,0.0,0.0,0.0,0.0,0
2011,31.0,0.0,0.0,3.0,2.0,0.67,-3.0,-0.12,100
2012,79.0,10.0,0.4,18.0,10.0,0.56,2.0,0.08,99900
2013,87.0,2.0,0.08,12.0,11.0,0.92,0.0,0.0,-80
2014,96.0,0.0,0.0,6.0,16.0,2.67,1.0,0.04,-100
2015,119.0,3.0,0.12,14.0,14.0,1.0,3.0,0.12,29900
2016,128.0,11.0,0.44,26.0,2.0,0.08,13.0,0.52,265
2017,112.0,6.0,0.24,15.0,4.0,0.27,-3.0,-0.12,-45
2018,136.0,4.0,0.16,15.0,18.0,1.2,-11.0,-0.44,-33
2019,179.0,5.0,0.2,20.0,9.0,0.45,9.0,0.38,24
