Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,645.0,57.0,2.28,122.0,-121.0,-0.0,75.0,3.0,0
2011,675.0,77.0,1.54,156.0,-192.0,-0.0,79.0,1.58,35
2012,726.0,64.0,1.28,138.0,-225.0,-0.0,64.0,1.28,-16
2013,890.0,36.0,0.72,115.0,300.0,2.61,26.0,0.51,-43
2014,937.0,35.0,0.68,117.0,245.0,2.09,67.0,1.31,-2
2015,908.0,17.0,0.33,116.0,267.0,2.3,5.0,0.1,-51
2016,907.0,-56.0,-1.12,35.0,292.0,8.34,20.0,0.4,-429
2017,884.0,-27.0,-0.54,62.0,175.0,2.82,86.0,1.69,51
2018,902.0,45.0,0.86,148.0,73.0,0.49,148.0,2.79,266
2019,966.0,54.0,1.03,181.0,180.0,0.99,43.0,0.83,19
2020,997.0,78.0,1.51,196.0,244.0,1.24,96.0,1.88,44
