Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,2071.0,189.0,1.24,378.0,870.0,2.3,-52.0,-0.34,0
2010,4000.0,396.0,2.73,751.0,684.0,0.91,258.0,1.79,109
2011,4283.0,384.0,2.81,763.0,939.0,1.23,300.0,2.21,-3
2012,4087.0,335.0,2.78,728.0,771.0,1.06,424.0,3.53,-12
2013,4080.0,283.0,2.35,680.0,713.0,1.05,291.0,2.43,-15
2014,4275.0,411.0,3.2,832.0,904.0,1.09,407.0,3.18,45
2015,4445.0,445.0,3.58,895.0,735.0,0.82,449.0,3.62,8
2016,5017.0,531.0,4.33,969.0,438.0,0.45,663.0,5.43,19
2017,5208.0,395.0,4.33,1068.0,266.0,0.25,590.0,6.48,-25
2018,4578.0,219.0,2.95,549.0,522.0,0.95,507.0,6.85,-44
2019,4719.0,518.0,4.06,930.0,-533.0,-0.0,786.0,6.19,136
