Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1233.0,-291.0,-0.72,-322.0,3998.0,0.0,278.0,0.7,0
2010,2659.0,170.0,0.18,637.0,5006.0,7.86,458.0,0.51,158
2011,2609.0,397.0,0.57,987.0,3423.0,3.47,1451.0,2.16,133
2012,2815.0,629.0,0.67,1107.0,1691.0,1.53,872.0,0.96,58
2013,2714.0,640.0,0.71,1148.0,3809.0,3.32,911.0,1.03,1
2014,2814.0,631.0,0.7,1183.0,5512.0,4.66,830.0,0.95,-1
2015,2988.0,691.0,0.78,1253.0,6809.0,5.43,942.0,1.1,9
2016,3516.0,711.0,0.68,1198.0,10617.0,8.86,1095.0,1.08,2
2017,4309.0,1186.0,0.98,1821.0,13050.0,7.17,1760.0,1.48,66
2018,4510.0,1393.0,1.18,2121.0,9534.0,4.5,1616.0,1.39,17
2019,4667.0,1411.0,1.32,1984.0,11410.0,5.75,1467.0,1.39,1
