Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4143.0,210.0,2.2,475.0,2087.0,4.39,74.0,0.77,0
2011,4432.0,264.0,2.72,551.0,2002.0,3.63,97.0,1.0,25
2012,4524.0,164.0,1.67,500.0,1475.0,2.95,513.0,5.23,-37
2013,4626.0,329.0,0.82,593.0,1569.0,2.65,556.0,1.39,100
2014,5323.0,402.0,0.99,663.0,1743.0,2.63,452.0,1.12,22
2015,5730.0,427.0,1.08,701.0,2283.0,3.26,144.0,0.36,6
2016,6027.0,538.0,1.41,834.0,3281.0,3.93,604.0,1.59,25
2017,6470.0,61.0,0.16,843.0,3542.0,4.2,574.0,1.56,-88
2018,6802.0,551.0,1.5,980.0,3547.0,3.62,560.0,1.54,803
2019,6965.0,598.0,1.63,973.0,3043.0,3.13,708.0,1.95,8
2020,6693.0,512.0,1.41,853.0,3418.0,4.01,819.0,2.08,-14
