Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,51.0,13.0,0.47,2.0,0.0,0.0,0.0,0.0,0
2011,108.0,4.0,0.12,10.0,-1.0,-0.0,1.0,0.03,-69
2012,110.0,2.0,0.06,11.0,-8.0,-0.0,2.0,0.07,-50
2013,104.0,-2.0,-0.06,3.0,-1.0,-0.0,0.0,0.0,-199
2014,106.0,2.0,0.06,8.0,7.0,0.88,2.0,0.06,200
2015,106.0,-18.0,-0.55,2.0,12.0,6.0,-6.0,-0.18,-995
2016,103.0,-4.0,-0.12,4.0,8.0,2.0,2.0,0.06,77
2017,101.0,-2.0,-0.06,4.0,5.0,1.25,-3.0,-0.09,49
2018,118.0,-4.0,-0.1,5.0,51.0,10.2,-1.0,-0.03,-101
2019,114.0,-4.0,-0.1,7.0,44.0,6.29,4.0,0.11,0
