Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,34.0,5.0,1.67,5.0,0.0,0.0,10.0,3.33,0
2011,66.0,11.0,1.58,20.0,380.0,19.0,18.0,2.57,119
2012,83.0,17.0,2.42,32.0,347.0,10.84,18.0,2.57,54
2013,85.0,18.0,2.26,31.0,257.0,8.29,39.0,4.88,5
2014,87.0,15.0,1.16,29.0,340.0,11.72,12.0,0.92,-16
2015,102.0,19.0,1.27,33.0,434.0,13.15,29.0,1.93,26
2016,120.0,22.0,1.16,42.0,234.0,5.57,22.0,1.16,15
2017,143.0,32.0,1.39,58.0,525.0,9.05,43.0,1.87,45
2018,167.0,52.0,1.35,73.0,530.0,7.26,66.0,1.74,62
2019,201.0,64.0,1.47,93.0,508.0,5.46,169.0,3.93,23
